city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"Albuquerque city, NM",557473,53833,0.1,0.69,0.58,0.65,0.71,0.72,0.93,0.95,0.97,0.94,0.06,0.03,0.33,0.41,0.26,0.24,0.17,0.18,0.08,0.12,0.19,0.26,0.06,0.11,0.38,0.27,0.09,0.12,0.2,0.26,0.06,0.11,0.61,0.55,0.43,0.41,0.01,0.02,0.94,0.73,0.93,0.68,0.37,0.27,0.16,0.15,0.08,0.04,0.12,0.02,17046,15272,49748,37769,21307,19177,3.54,21,4.33,5,5,4,5,2,5,2.75,2,3,3,3
"Anaheim city, CA",349956,125021,0.36,0.74,0.63,0.65,0.79,0.72,0.94,0.96,0.96,0.97,0.05,0.02,0.26,0.36,0.27,0.18,0.18,0.14,0.07,0.11,0.14,0.16,0.05,0.09,0.4,0.27,0.08,0.14,0.1,0.15,0.03,0.05,0.52,0.4,0.51,0.54,0.03,0.09,0.94,0.79,0.91,0.64,0.3,0.23,0.09,0.06,0.04,0.03,0.06,0.01,17482,17898,53268,45785,26978,20362,3.67,17,3.83,3,4,4,3,4,5,3.5,5,3,2,4
"Anchorage municipality, AK",293597,31854,0.11,0.83,0.69,0.69,0.77,0.76,0.91,0.95,0.99,0.99,0.06,0.05,0.35,0.25,0.22,0.26,0.13,0.13,0.08,0.09,0.12,0.17,0.04,0.03,0.28,0.26,0.05,0.05,0.12,0.17,0.02,0.01,0.62,0.64,0.4,0.43,0.01,0.06,0.89,0.86,0.95,0.82,0.38,0.28,0.15,0.08,0.13,0.08,0.19,0.07,25453,25453,68183,46617,34417,32373,2.96,50,2.17,1,2,1,3,2,4,3.75,2,3,5,5
"Arlington city, TX",401886,82554,0.21,0.79,0.65,0.69,0.79,0.75,0.94,0.97,0.98,0.95,0.04,0.03,0.27,0.31,0.23,0.16,0.12,0.16,0.07,0.11,0.13,0.2,0.04,0.15,0.24,0.11,0.03,0.05,0.13,0.16,0.03,0.11,0.57,0.51,0.37,0.46,0.01,0.03,0.87,0.62,0.92,0.65,0.31,0.24,0.1,0.08,0.05,0.02,0.09,0.02,20500,18326,55000,32373,26073,23417,1.71,98,1.67,1,1,2,1,3,2,1.75,2,1,1,3
"Atlanta city, GA",476419,38177,0.08,0.71,0.53,0.58,0.83,0.79,0.88,0.92,0.98,0.97,0.04,0.05,0.28,0.38,0.29,0.19,0.11,0.12,0.1,0.1,0.29,0.26,0.06,0.13,0.32,0.07,0.03,0.02,0.26,0.12,0.03,0.02,0.43,0.39,0.39,0.37,0.01,0.03,0.89,0.82,0.92,0.89,0.5,0.64,0.21,0.35,0.06,0.04,0.06,0.02,12000,12515,61291,53268,30896,21582,4.08,8,3.67,3,3,2,4,5,5,4.5,4,5,5,4
"Aurora city, CO",362547,71125,0.2,0.71,0.68,0.71,0.77,0.76,0.94,0.96,0.97,0.98,0.05,0.02,0.25,0.3,0.21,0.17,0.15,0.16,0.08,0.11,0.1,0.17,0.04,0.12,0.33,0.23,0.07,0.15,0.1,0.15,0.03,0.1,0.64,0.49,0.45,0.57,0.01,0.03,0.93,0.69,0.94,0.67,0.33,0.21,0.1,0.08,0.06,0.02,0.12,0.02,24930,21582,50906,37546,22945,29830,3.25,36,4.5,5,4,5,5,3,5,2,4,1,1,2
"Austin city, TX",947038,173872,0.18,0.67,0.65,0.71,0.83,0.78,0.94,0.97,0.98,0.97,0.06,0.02,0.25,0.33,0.25,0.17,0.13,0.14,0.11,0.11,0.17,0.2,0.05,0.08,0.21,0.14,0.02,0.03,0.11,0.19,0.02,0.04,0.48,0.39,0.38,0.41,0.01,0.04,0.9,0.69,0.94,0.73,0.55,0.4,0.19,0.2,0.08,0.03,0.07,0.02,19816,18530,56006,50140,30755,26000,2.92,54,3.33,4,2,3,3,5,3,2.5,2,3,2,3
"Bakersfield city, CA",371375,74748,0.2,0.59,0.59,0.63,0.76,0.73,0.89,0.92,0.97,0.96,0.04,0.01,0.29,0.39,0.24,0.14,0.13,0.1,0.08,0.13,0.2,0.22,0.04,0.06,0.47,0.43,0.09,0.16,0.19,0.22,0.04,0.06,0.59,0.54,0.43,0.43,0.02,0.04,0.95,0.82,0.87,0.53,0.21,0.16,0.07,0.05,0.07,0.03,0.07,0.01,14661,16187,62000,50000,25030,30544,2.79,61,2.33,1,3,4,1,3,2,3.25,5,4,3,1
"Baltimore city, MD",609040,48727,0.08,0.69,0.53,0.63,0.82,0.77,0.88,0.94,0.98,0.97,0.04,0.03,0.3,0.4,0.23,0.21,0.12,0.13,0.06,0.07,0.26,0.21,0.07,0.12,0.45,0.26,0.08,0.08,0.32,0.23,0.07,0.05,0.48,0.42,0.4,0.39,0.01,0.02,0.94,0.78,0.85,0.8,0.3,0.43,0.14,0.24,0.1,0.05,0.08,0.02,15272,18043,55800,45368,25899,26471,4.25,5,4,5,4,4,3,5,3,4.5,5,5,5,3
"Baton Rouge city, LA",225102,12742,0.06,0.65,0.61,0.65,0.75,0.74,0.9,0.96,0.98,0.99,0.04,0.02,0.31,0.46,0.27,0.22,0.13,0.28,0.08,0.15,0.24,0.25,0.06,0.06,0.34,0.15,0.07,0.05,0.22,0.1,0.06,0.04,0.55,0.46,0.46,0.27,0.01,0.02,0.92,0.66,0.9,0.8,0.34,0.39,0.13,0.2,0.08,0.03,0.08,0.02,14300,15644,49643,30245,26634,25000,2.38,85,1,1,1,1,1,1,1,3.75,5,5,4,1
"Boise City city, ID",225665,13685,0.06,0.72,0.64,0.66,0.75,0.75,0.95,0.93,0.97,1,0.05,0.03,0.31,0.39,0.25,0.22,0.18,0.16,0.12,0.09,0.14,0.27,0.05,0.11,0.19,0.17,0.04,0.05,0.11,0.16,0.02,0.09,0.64,0.54,0.4,0.44,0,0.02,0.91,0.78,0.96,0.8,0.38,0.36,0.13,0.18,0.07,0.04,0.11,0.02,20362,18773,48870,45811,26978,31961,2.63,72,2.5,3,1,3,3,2,3,2.75,2,3,3,3
"Boston city, MA",684090,196317,0.29,0.74,0.58,0.62,0.85,0.74,0.88,0.93,0.97,0.96,0.04,0.03,0.3,0.36,0.37,0.29,0.11,0.15,0.05,0.07,0.27,0.25,0.07,0.18,0.44,0.48,0.07,0.15,0.23,0.29,0.03,0.09,0.38,0.29,0.41,0.48,0.01,0.02,0.97,0.94,0.93,0.76,0.58,0.34,0.25,0.18,0.07,0.03,0.05,0.01,11199,15755,64746,42761,26978,25000,3.21,39,4.17,5,4,3,5,5,3,2.25,2,2,2,3
"Buffalo city, NY",256513,26978,0.11,0.76,0.54,0.53,0.79,0.69,0.91,0.93,0.97,0.95,0.04,0.02,0.22,0.29,0.31,0.32,0.15,0.2,0.05,0.06,0.33,0.45,0.1,0.23,0.53,0.66,0.14,0.27,0.38,0.45,0.1,0.2,0.41,0.36,0.43,0.45,0.01,0.04,0.95,0.93,0.87,0.68,0.28,0.27,0.11,0.12,0.07,0.03,0.07,0.02,14601,9800,43803,26438,20362,20395,3.67,17,4.83,5,5,5,5,4,5,2.5,1,1,4,4
"Chandler city, AZ",253729,37518,0.15,0.72,0.62,0.61,0.76,0.76,0.95,0.97,0.98,0.97,0.06,0.03,0.28,0.38,0.23,0.22,0.12,0.09,0.08,0.1,0.09,0.15,0.04,0.05,0.19,0.19,0.04,0.05,0.07,0.1,0.02,0.01,0.65,0.64,0.35,0.35,0.01,0.01,0.94,0.86,0.96,0.81,0.42,0.46,0.14,0.24,0.05,0.03,0.1,0.03,23012,18000,55996,61000,26978,22160,2.96,50,2.17,1,1,1,3,3,4,3.75,4,3,5,3
"Charlotte city, NC",853971,134173,0.16,0.73,0.63,0.7,0.82,0.76,0.92,0.95,0.98,0.97,0.05,0.02,0.24,0.28,0.26,0.17,0.12,0.09,0.08,0.1,0.17,0.22,0.03,0.07,0.28,0.12,0.03,0.03,0.16,0.16,0.03,0.05,0.55,0.44,0.37,0.36,0,0.02,0.92,0.65,0.94,0.7,0.47,0.35,0.16,0.15,0.04,0.02,0.08,0.01,17579,19177,54653,45000,26073,25030,3.25,36,3.5,5,4,1,5,3,3,3,3,4,2,3
"Chesapeake city, VA",240142,15183,0.06,0.85,0.6,0.68,0.8,0.76,0.94,0.97,0.97,0.98,0.07,0.07,0.26,0.28,0.22,0.19,0.13,0.15,0.06,0.11,0.1,0.16,0.02,0.03,0.19,0.1,0.03,0.04,0.1,0.11,0.02,0.05,0.71,0.66,0.42,0.53,0,0.03,0.93,0.77,0.93,0.84,0.33,0.37,0.12,0.12,0.1,0.06,0.2,0.12,22000,21000,59051,40725,26634,34639,2.67,66,1.33,1,1,3,1,1,1,4,5,4,2,5
"Chicago city, IL",2707692,554271,0.21,0.73,0.56,0.61,0.85,0.76,0.85,0.95,0.97,0.96,0.04,0.02,0.26,0.31,0.28,0.19,0.12,0.14,0.07,0.11,0.24,0.19,0.06,0.13,0.45,0.23,0.06,0.09,0.29,0.22,0.04,0.07,0.44,0.48,0.4,0.41,0.01,0.03,0.94,0.77,0.9,0.7,0.43,0.28,0.18,0.12,0.07,0.03,0.05,0.01,13767,18561,61087,42761,25569,20362,4.38,1,5,5,5,5,5,5,5,3.75,3,5,4,3
"Chula Vista city, CA",267636,84514,0.32,0.72,0.65,0.59,0.78,0.73,0.9,0.91,0.96,0.97,0.05,0.05,0.26,0.4,0.25,0.22,0.14,0.16,0.06,0.12,0.11,0.14,0.03,0.05,0.33,0.29,0.08,0.11,0.08,0.13,0.02,0.04,0.62,0.52,0.52,0.57,0.02,0.05,0.94,0.88,0.92,0.71,0.3,0.25,0.1,0.07,0.1,0.07,0.16,0.07,18776,16800,61509,48870,29724,25351,4.33,2,4.67,4,5,5,5,4,5,4,5,2,4,5
"Cincinnati city, OH",301926,17828,0.06,0.76,0.6,0.59,0.81,0.78,0.9,0.93,0.98,0.97,0.05,0.04,0.26,0.39,0.31,0.2,0.15,0.17,0.06,0.06,0.31,0.35,0.07,0.15,0.43,0.18,0.07,0.05,0.26,0.17,0.04,0.05,0.39,0.32,0.38,0.29,0.01,0.03,0.94,0.72,0.88,0.81,0.34,0.45,0.14,0.26,0.05,0.01,0.06,0.02,15272,14136,50000,40257,20362,15128,3.88,14,4.5,5,4,4,5,4,5,3.25,3,4,4,2
"Cleveland city, OH",385402,22880,0.06,0.73,0.55,0.53,0.79,0.64,0.84,0.88,0.96,0.96,0.04,0.02,0.29,0.37,0.29,0.2,0.14,0.26,0.06,0.08,0.35,0.35,0.11,0.35,0.54,0.45,0.13,0.12,0.38,0.32,0.1,0.13,0.41,0.43,0.39,0.48,0,0.02,0.93,0.87,0.82,0.72,0.17,0.26,0.06,0.14,0.06,0.02,0.07,0.02,13500,12000,44846,20859,19853,26282,3.54,21,3.83,4,4,2,5,3,5,3.25,1,4,5,3
"Colorado Springs city, CO",458635,32329,0.07,0.77,0.65,0.62,0.74,0.69,0.93,0.95,0.98,0.94,0.05,0.05,0.25,0.3,0.28,0.25,0.16,0.15,0.1,0.12,0.14,0.14,0.05,0.08,0.31,0.22,0.07,0.1,0.14,0.17,0.03,0.05,0.62,0.56,0.42,0.4,0.01,0.03,0.93,0.81,0.96,0.79,0.4,0.31,0.15,0.14,0.07,0.06,0.19,0.1,20362,20859,50000,36754,20000,17046,2.54,77,1.83,1,2,4,1,2,1,3.25,2,3,3,5
"Columbus city, OH",866308,95938,0.11,0.76,0.62,0.67,0.82,0.78,0.93,0.93,0.98,0.98,0.05,0.04,0.27,0.33,0.27,0.24,0.13,0.15,0.06,0.08,0.21,0.29,0.05,0.14,0.34,0.34,0.05,0.1,0.18,0.28,0.03,0.06,0.53,0.32,0.34,0.35,0,0.02,0.93,0.78,0.92,0.8,0.38,0.38,0.14,0.17,0.06,0.03,0.08,0.02,18644,15107,53268,35000,25000,19177,3.29,33,4.33,5,4,3,5,4,5,2.25,2,1,2,4
"Corpus Christi city, TX",323931,29477,0.09,0.61,0.6,0.62,0.74,0.75,0.93,0.98,0.98,0.97,0.04,0.03,0.25,0.35,0.21,0.2,0.12,0.14,0.09,0.16,0.18,0.19,0.05,0.13,0.26,0.14,0.04,0.04,0.21,0.18,0.04,0.05,0.57,0.55,0.36,0.39,0.01,0.03,0.84,0.65,0.85,0.65,0.21,0.24,0.07,0.11,0.08,0.03,0.12,0.03,17300,15644,50397,46932,26634,18773,2.42,83,1.33,1,1,2,1,2,1,3.5,5,4,3,2
"Dallas city, TX",1327234,321856,0.24,0.65,0.59,0.69,0.79,0.78,0.93,0.97,0.98,0.97,0.04,0.01,0.28,0.29,0.21,0.13,0.11,0.13,0.09,0.1,0.22,0.2,0.05,0.13,0.34,0.11,0.02,0.04,0.2,0.18,0.02,0.05,0.46,0.42,0.37,0.4,0.01,0.06,0.85,0.52,0.9,0.51,0.41,0.18,0.15,0.08,0.04,0.01,0.07,0.01,16187,19177,60459,41200,30000,22000,3.17,40,4.33,5,4,3,5,4,5,2,3,3,1,1
"Denver city, CO",706029,105169,0.15,0.68,0.63,0.67,0.83,0.79,0.95,0.97,0.98,0.97,0.05,0.02,0.26,0.26,0.23,0.15,0.13,0.11,0.11,0.09,0.17,0.18,0.05,0.08,0.39,0.25,0.06,0.1,0.15,0.15,0.02,0.05,0.5,0.42,0.41,0.47,0.01,0.03,0.93,0.72,0.94,0.64,0.55,0.27,0.21,0.11,0.06,0.02,0.07,0.02,20963,20503,58033,46932,29000,24819,2.83,58,4.17,5,3,4,5,4,4,1.5,1,3,1,1
"Detroit city, MI",677428,44195,0.07,0.66,0.52,0.53,0.69,0.78,0.82,0.89,0.94,0.92,0.03,0.02,0.22,0.26,0.27,0.21,0.17,0.18,0.05,0.08,0.37,0.44,0.1,0.22,0.56,0.49,0.15,0.18,0.43,0.35,0.13,0.12,0.47,0.56,0.43,0.34,0.01,0.04,0.93,0.78,0.84,0.59,0.16,0.19,0.07,0.09,0.05,0.02,0.06,0.01,12000,10014,40000,29567,15644,20362,3.96,12,4.17,5,4,3,5,3,5,3.75,4,5,5,1
"Durham city, NC",267811,37791,0.14,0.8,0.57,0.7,0.79,0.77,0.93,0.96,0.97,0.97,0.07,0.02,0.29,0.41,0.3,0.15,0.14,0.14,0.06,0.09,0.2,0.26,0.06,0.11,0.31,0.1,0.03,0.02,0.18,0.21,0.03,0.02,0.55,0.44,0.37,0.38,0.01,0.02,0.92,0.63,0.93,0.69,0.5,0.43,0.24,0.24,0.06,0.01,0.08,0.01,15644,16270,51670,42761,26978,20859,2.88,57,2.5,3,1,2,3,3,3,3.25,5,4,2,2
"El Paso city, TX",655971,157059,0.24,0.73,0.61,0.5,0.79,0.77,0.93,0.94,0.97,0.97,0.03,0.03,0.28,0.28,0.25,0.25,0.13,0.11,0.06,0.13,0.21,0.27,0.05,0.1,0.31,0.2,0.04,0.05,0.21,0.32,0.05,0.09,0.58,0.59,0.35,0.42,0.01,0.03,0.83,0.7,0.9,0.57,0.27,0.16,0.09,0.06,0.09,0.04,0.14,0.04,14382,11889,48000,38589,20755,16187,2.08,92,1.67,1,1,3,3,1,1,2.5,3,2,2,3
"Fort Wayne city, IN",265444,20271,0.08,0.66,0.62,0.65,0.77,0.66,0.93,0.94,0.98,0.94,0.04,0.02,0.26,0.22,0.26,0.16,0.17,0.17,0.06,0.09,0.18,0.26,0.04,0.18,0.31,0.27,0.06,0.09,0.15,0.22,0.03,0.07,0.64,0.57,0.31,0.34,0,0.01,0.92,0.74,0.91,0.54,0.28,0.16,0.09,0.06,0.04,0.01,0.09,0.02,20455,18773,44820,29136,20859,19816,2,94,2.5,3,3,1,4,2,2,1.5,1,1,3,1
"Fort Worth city, TX",846117,133297,0.16,0.72,0.62,0.67,0.78,0.76,0.93,0.95,0.98,0.94,0.05,0.01,0.26,0.3,0.21,0.15,0.13,0.12,0.08,0.1,0.15,0.2,0.04,0.13,0.26,0.1,0.03,0.04,0.15,0.19,0.03,0.07,0.6,0.6,0.37,0.39,0.01,0.03,0.86,0.58,0.91,0.55,0.32,0.18,0.1,0.06,0.06,0.02,0.1,0.01,19800,18378,55996,38400,25569,25453,1.58,99,1.17,1,1,1,1,1,2,2,2,3,2,1
"Fremont city, CA",234447,112527,0.48,0.77,0.57,0.56,0.77,0.75,0.95,0.97,0.96,0.97,0.04,0.07,0.33,0.39,0.22,0.18,0.12,0.1,0.08,0.07,0.05,0.06,0.03,0.03,0.26,0.31,0.07,0.06,0.06,0.06,0.01,0.01,0.62,0.59,0.43,0.31,0.02,0.04,0.98,0.98,0.95,0.92,0.38,0.64,0.13,0.33,0.04,0.03,0.06,0.01,23438,20859,73000,90000,48870,41717,4.33,2,4.67,4,5,5,4,5,5,4,3,4,5,4
