city, pop_tot , pop_fb ,pop_fb_share,natrate,lsnblaborforceparticrate,lsfblaborforceparticrate,hsnblaborforceparticrate,hsfblaborforceparticrate,lsnbemplrate,lsfbemplrate,hsnbemplrate,hsfbemplrate,lsnbhighprestigerate,lsfbhighprestigerate,hsnbhighprestigerate,hsfbhighprestigerate,lsnbparttimerate,lsfbparttimerate,hsnbparttimerate,hsfbparttimerate,nbentrepreneurshiprate,fbentrepreneurshiprate,lsnbpovertyrate,lsfbpovertyrate,hsnbpovertyrate,hsfbpovertyrate,lsnbtrirecipient,lsfbtrirecipient,hsnbtrirecipient,hsfbtrirecipient,lsnbfoodstamprecipient,lsfbfoodstamprecipient,hsnbfoodstamprecipient,hsfbfoodstamprecipient,nbownershiprate,fbownershiprate,nboverburdenrate,fboverburdenrate,nbovercrowdedrate,fbovercrowdedrate,nbhealthinsu,fbhealthinsu,nbhs,fbhs,nbba,fbba,nbadv,fbadv,nbpubsoc,fbpubsoc,nbmilitaryvet,fbmilitaryvet, lsnbmediantotinc , lsfbmediantotinc , hsnbmediantotinc , hsfbmediantotinc , nbmedianbusinessincome , fbmedianbusinessincome , overall_score , overall_ranking , policy_score ,gov_leadership,econ_empower,Inclusivity,Community,legal_support,emergency_management,se_score,job_opps,econ_prosperity,Livability,civic_particip
"North Las Vegas city, NV",240979,51380,0.21,0.74,0.62,0.67,0.75,0.68,0.92,0.96,0.96,0.95,0.04,0.02,0.22,0.19,0.22,0.15,0.11,0.14,0.06,0.09,0.16,0.15,0.05,0.08,0.35,0.1,0.08,0.1,0.16,0.21,0.06,0.09,0.59,0.61,0.39,0.43,0.01,0.02,0.92,0.68,0.9,0.62,0.21,0.15,0.07,0.04,0.07,0.02,0.15,0.04,20000,21582,50000,32400,22500,16799,3,48,3,2,4,3,1,4,4,3,3,4,3,2
"Oakland city, CA",425165,115248,0.27,0.71,0.59,0.61,0.82,0.79,0.9,0.94,0.97,0.96,0.04,0.01,0.26,0.3,0.3,0.28,0.17,0.15,0.12,0.15,0.21,0.23,0.05,0.08,0.45,0.4,0.08,0.12,0.17,0.16,0.03,0.04,0.43,0.36,0.42,0.5,0.02,0.09,0.95,0.85,0.94,0.62,0.55,0.27,0.24,0.11,0.08,0.03,0.05,0.01,15980,14915,68834,60000,31288,21582,3.08,46,3.67,2,3,5,3,5,4,2.5,3,2,2,3
"Oklahoma City city, OK",634903,68852,0.11,0.69,0.61,0.68,0.76,0.8,0.93,0.96,0.99,0.98,0.05,0.03,0.28,0.31,0.22,0.19,0.14,0.14,0.1,0.11,0.19,0.22,0.05,0.09,0.28,0.11,0.03,0.04,0.18,0.18,0.03,0.04,0.58,0.53,0.32,0.32,0.01,0.02,0.88,0.6,0.91,0.57,0.32,0.22,0.11,0.11,0.09,0.05,0.12,0.02,18963,18021,48581,37384,23000,26101,2.38,85,1.5,1,1,2,3,1,1,3.25,3,5,2,3
"Omaha city, NE",455932,50799,0.11,0.66,0.65,0.7,0.79,0.77,0.94,0.93,0.98,0.96,0.04,0.02,0.3,0.2,0.27,0.19,0.13,0.14,0.08,0.06,0.15,0.26,0.04,0.11,0.24,0.19,0.03,0.04,0.14,0.23,0.03,0.06,0.62,0.43,0.37,0.3,0,0.04,0.92,0.67,0.94,0.55,0.4,0.26,0.13,0.11,0.04,0.01,0.1,0.01,20859,16000,52942,37365,23438,21582,1.5,100,2,1,3,3,3,1,1,1,1,1,1,1
"Orlando city, FL",274450,62326,0.23,0.79,0.64,0.68,0.8,0.77,0.92,0.95,0.98,0.97,0.04,0.02,0.25,0.22,0.25,0.21,0.12,0.16,0.08,0.11,0.22,0.22,0.07,0.12,0.34,0.19,0.05,0.05,0.26,0.25,0.05,0.1,0.43,0.39,0.42,0.52,0.01,0.03,0.88,0.74,0.9,0.79,0.35,0.28,0.11,0.1,0.05,0.02,0.08,0.02,17003,16187,46700,29202,25453,19177,3,48,3.5,4,4,3,4,3,3,2.5,1,3,2,4
"Philadelphia city, PA",1579833,223773,0.14,0.79,0.52,0.62,0.8,0.74,0.88,0.92,0.96,0.93,0.04,0.03,0.3,0.33,0.26,0.22,0.14,0.13,0.06,0.12,0.29,0.27,0.09,0.18,0.45,0.33,0.08,0.13,0.32,0.3,0.07,0.16,0.53,0.5,0.44,0.51,0.01,0.03,0.94,0.8,0.87,0.74,0.29,0.31,0.12,0.14,0.08,0.03,0.07,0.02,13850,15018,50906,32580,23417,21582,3.92,13,4.33,5,4,3,5,5,4,3.5,5,3,3,3
"Phoenix city, AZ",1625123,316080,0.19,0.62,0.63,0.65,0.77,0.75,0.93,0.96,0.98,0.97,0.05,0.02,0.27,0.31,0.22,0.18,0.13,0.12,0.09,0.14,0.19,0.25,0.05,0.08,0.36,0.28,0.06,0.09,0.15,0.24,0.03,0.05,0.56,0.5,0.37,0.38,0.01,0.05,0.9,0.69,0.9,0.59,0.32,0.18,0.11,0.07,0.05,0.02,0.09,0.02,19640,16900,53268,43164,26073,18773,2.46,80,2.67,2,3,2,4,1,4,2.25,4,2,2,1
"Pittsburgh city, PA",301898,27082,0.09,0.76,0.54,0.45,0.82,0.66,0.91,0.97,0.97,0.98,0.05,0.06,0.31,0.37,0.32,0.29,0.14,0.13,0.06,0.08,0.25,0.42,0.09,0.22,0.33,0.32,0.06,0.05,0.24,0.19,0.04,0.05,0.48,0.31,0.38,0.44,0,0.03,0.95,0.89,0.93,0.89,0.42,0.7,0.19,0.43,0.06,0.02,0.08,0.01,14497,9400,48154,30250,22000,20859,3.13,43,4,4,4,3,5,3,5,2.25,3,2,3,1
"Plano city, TX",287217,78451,0.27,0.81,0.63,0.63,0.78,0.76,0.95,0.97,0.97,0.96,0.08,0.03,0.28,0.35,0.22,0.21,0.11,0.1,0.09,0.11,0.08,0.15,0.03,0.06,0.14,0.08,0.02,0.03,0.05,0.08,0.01,0.03,0.58,0.55,0.32,0.31,0.01,0.02,0.93,0.8,0.98,0.87,0.54,0.63,0.18,0.33,0.04,0.02,0.08,0.01,20827,15272,60000,57500,31961,26471,2.04,93,1.33,1,1,2,2,1,1,2.75,1,2,5,3
"Portland city, OR",644564,85654,0.13,0.76,0.62,0.64,0.8,0.78,0.93,0.95,0.97,0.97,0.05,0.02,0.25,0.27,0.31,0.21,0.19,0.18,0.12,0.11,0.17,0.24,0.06,0.09,0.33,0.35,0.08,0.1,0.22,0.33,0.05,0.1,0.54,0.5,0.42,0.46,0.01,0.04,0.95,0.86,0.96,0.73,0.53,0.32,0.21,0.14,0.06,0.04,0.07,0.02,20000,17730,53268,46932,24819,22661,3.17,40,3.33,3,3,4,3,4,3,3,2,2,3,5
"Raleigh city, NC",469542,59233,0.13,0.74,0.58,0.72,0.81,0.76,0.93,0.95,0.98,0.98,0.06,0.03,0.26,0.31,0.27,0.2,0.13,0.17,0.08,0.09,0.15,0.25,0.04,0.11,0.24,0.12,0.02,0.03,0.13,0.14,0.02,0.03,0.56,0.45,0.35,0.4,0,0.02,0.92,0.69,0.95,0.75,0.53,0.44,0.18,0.21,0.07,0.03,0.08,0.02,16687,18733,53400,40725,31961,25899,2.33,87,2.17,3,1,1,3,2,3,2.5,3,3,1,3
"Reno city, NV",243053,36412,0.15,0.73,0.64,0.74,0.71,0.76,0.93,0.95,0.98,0.98,0.04,0.01,0.29,0.23,0.28,0.18,0.17,0.16,0.09,0.06,0.17,0.14,0.05,0.08,0.26,0.12,0.05,0.05,0.15,0.16,0.03,0.09,0.51,0.44,0.4,0.37,0.02,0.04,0.93,0.77,0.94,0.69,0.36,0.25,0.14,0.1,0.06,0.02,0.11,0.03,21201,22399,52147,40000,30176,22500,2.67,66,2.33,2,4,3,1,3,1,3,2,3,4,3
"Richmond city, VA",226352,16049,0.07,0.75,0.56,0.7,0.82,0.72,0.9,0.96,0.98,0.95,0.03,0.01,0.25,0.31,0.3,0.25,0.13,0.17,0.06,0.07,0.3,0.24,0.06,0.18,0.34,0.1,0.03,0.03,0.22,0.16,0.02,0.05,0.44,0.33,0.42,0.37,0.01,0.03,0.91,0.53,0.88,0.61,0.4,0.28,0.16,0.17,0.08,0.03,0.08,0.02,14000,15272,50906,49000,20000,18773,3.38,31,4,5,4,4,3,3,5,2.75,1,5,2,3
"Riverside city, CA",327680,74150,0.23,0.72,0.6,0.61,0.75,0.71,0.92,0.95,0.95,0.98,0.04,0.02,0.27,0.32,0.28,0.16,0.18,0.17,0.07,0.1,0.15,0.16,0.05,0.07,0.39,0.3,0.09,0.13,0.12,0.16,0.04,0.04,0.54,0.53,0.48,0.51,0.02,0.05,0.94,0.8,0.9,0.6,0.25,0.18,0.1,0.07,0.06,0.03,0.07,0.02,15448,18326,53268,41549,31288,22945,2.96,50,2.67,1,3,4,3,3,2,3.25,4,3,3,3
"Sacramento city, CA",502517,111593,0.22,0.75,0.58,0.59,0.78,0.73,0.9,0.94,0.97,0.95,0.06,0.03,0.29,0.32,0.27,0.25,0.15,0.14,0.08,0.11,0.18,0.22,0.05,0.09,0.42,0.42,0.08,0.15,0.15,0.19,0.03,0.06,0.49,0.5,0.43,0.48,0.01,0.04,0.96,0.87,0.92,0.7,0.36,0.24,0.13,0.08,0.15,0.08,0.09,0.02,17715,14915,60490,43803,24000,25453,3.29,33,3.83,2,4,4,4,5,4,2.75,3,2,3,3
"San Antonio city, TX",1484014,204742,0.14,0.69,0.61,0.61,0.76,0.74,0.94,0.96,0.97,0.97,0.04,0.02,0.28,0.26,0.23,0.18,0.12,0.12,0.06,0.13,0.19,0.22,0.05,0.09,0.28,0.13,0.04,0.04,0.18,0.2,0.03,0.05,0.55,0.53,0.39,0.39,0.01,0.02,0.86,0.67,0.87,0.6,0.27,0.22,0.1,0.09,0.06,0.02,0.13,0.03,16187,15980,52203,38688,23740,20362,3.5,23,4,5,3,3,5,3,5,3,3,3,3,3
"San Bernardino city, CA",216811,50717,0.23,0.61,0.57,0.61,0.72,0.7,0.87,0.93,0.96,0.94,0.02,0.01,0.25,0.2,0.28,0.18,0.2,0.23,0.05,0.1,0.26,0.25,0.06,0.16,0.56,0.37,0.14,0.17,0.24,0.28,0.11,0.07,0.48,0.53,0.54,0.51,0.03,0.08,0.92,0.71,0.82,0.47,0.14,0.08,0.04,0.03,0.08,0.03,0.07,0.01,11889,15272,45322,21582,26272,17626,2.92,54,2.83,1,3,4,2,3,4,3,5,3,3,1
"San Diego city, CA",1403977,356074,0.25,0.76,0.63,0.6,0.78,0.74,0.92,0.94,0.97,0.96,0.06,0.03,0.3,0.4,0.28,0.26,0.17,0.15,0.11,0.14,0.15,0.2,0.05,0.09,0.3,0.31,0.07,0.09,0.08,0.15,0.02,0.02,0.47,0.44,0.47,0.56,0.02,0.05,0.94,0.86,0.95,0.73,0.49,0.37,0.19,0.17,0.07,0.04,0.14,0.04,18400,15341,61846,50000,30107,20362,3.13,43,3.5,3,4,5,3,5,1,2.75,2,1,3,5
"San Francisco city, CA",874787,299854,0.34,0.82,0.58,0.55,0.85,0.77,0.92,0.95,0.97,0.97,0.04,0.03,0.26,0.31,0.32,0.28,0.12,0.12,0.11,0.11,0.16,0.14,0.05,0.08,0.35,0.38,0.05,0.1,0.11,0.11,0.02,0.03,0.35,0.4,0.29,0.39,0.02,0.08,0.97,0.95,0.97,0.76,0.69,0.42,0.26,0.18,0.05,0.04,0.05,0.02,18021,18053,86328,71268,38353,25453,4,10,5,5,5,5,5,5,5,3,1,2,4,5
"San Jose city, CA",1019911,397097,0.39,0.78,0.6,0.63,0.8,0.77,0.94,0.96,0.96,0.96,0.05,0.04,0.29,0.37,0.31,0.23,0.14,0.11,0.08,0.09,0.1,0.12,0.03,0.04,0.33,0.33,0.06,0.08,0.09,0.13,0.01,0.02,0.59,0.56,0.46,0.49,0.02,0.05,0.96,0.92,0.92,0.78,0.44,0.43,0.15,0.19,0.05,0.02,0.06,0.01,18326,19800,74458,74576,32373,24435,4.25,5,5,5,5,5,5,5,5,3.5,4,3,4,3
"Santa Ana city, CA",334183,143415,0.43,0.65,0.63,0.67,0.81,0.78,0.93,0.97,0.96,0.96,0.02,0.01,0.21,0.22,0.3,0.2,0.2,0.15,0.07,0.1,0.18,0.17,0.05,0.07,0.52,0.33,0.12,0.18,0.12,0.19,0.04,0.08,0.53,0.42,0.46,0.58,0.06,0.16,0.91,0.77,0.85,0.46,0.26,0.11,0.08,0.03,0.04,0.02,0.04,0.01,14200,18326,44846,38380,25448,20362,3.46,26,4.17,4,4,5,4,5,3,2.75,5,4,1,1
"Scottsdale city, AZ",250761,26896,0.11,0.82,0.56,0.53,0.68,0.7,0.95,0.95,0.98,0.98,0.08,0.07,0.26,0.38,0.28,0.25,0.16,0.15,0.16,0.19,0.1,0.19,0.04,0.05,0.16,0.12,0.04,0.05,0.07,0.1,0.01,0.03,0.69,0.64,0.32,0.37,0.01,0.01,0.95,0.88,0.97,0.89,0.56,0.53,0.21,0.28,0.04,0.02,0.1,0.02,23225,20859,61300,66122,35634,31294,2.42,83,1.33,1,1,1,1,3,1,3.5,3,2,5,4
"Seattle city, WA",725210,135428,0.19,0.76,0.63,0.58,0.83,0.78,0.93,0.93,0.98,0.97,0.06,0.04,0.29,0.33,0.32,0.27,0.15,0.13,0.1,0.09,0.16,0.23,0.05,0.08,0.26,0.28,0.05,0.05,0.17,0.25,0.03,0.04,0.47,0.39,0.37,0.35,0.02,0.05,0.97,0.92,0.97,0.85,0.66,0.54,0.27,0.28,0.05,0.03,0.06,0.02,22399,18129,66053,64746,31961,25000,4,10,5,5,5,5,5,5,5,3,1,2,4,5
"St. Louis city, MO",307841,21231,0.07,0.75,0.58,0.63,0.82,0.68,0.9,0.9,0.97,0.98,0.04,0.07,0.3,0.5,0.25,0.15,0.12,0.13,0.06,0.06,0.26,0.26,0.08,0.18,0.35,0.25,0.05,0.04,0.28,0.23,0.04,0.05,0.44,0.36,0.36,0.36,0.01,0.02,0.9,0.79,0.88,0.83,0.36,0.45,0.15,0.27,0.07,0.02,0.08,0.02,16188,15767,50000,37500,25030,17308,2.67,66,2.33,2,4,1,2,1,4,3,4,3,3,2
"St. Paul city, MN",304635,60544,0.2,0.77,0.64,0.65,0.82,0.81,0.91,0.95,0.98,0.97,0.06,0.02,0.24,0.27,0.34,0.29,0.15,0.18,0.07,0.06,0.22,0.3,0.04,0.14,0.42,0.52,0.08,0.15,0.22,0.35,0.02,0.1,0.54,0.33,0.42,0.49,0.01,0.1,0.95,0.85,0.94,0.66,0.47,0.24,0.19,0.09,0.08,0.04,0.06,0.01,16800,14661,50906,36503,20362,19424,2.83,58,4.17,5,4,3,5,5,3,1.5,1,1,1,3
"St. Petersburg city, FL",257609,27913,0.11,0.81,0.58,0.58,0.7,0.67,0.93,0.95,0.97,0.97,0.06,0.06,0.26,0.34,0.23,0.22,0.17,0.16,0.11,0.13,0.16,0.16,0.06,0.09,0.24,0.15,0.05,0.06,0.17,0.14,0.03,0.07,0.6,0.66,0.42,0.28,0.01,0.01,0.9,0.83,0.92,0.85,0.36,0.34,0.13,0.14,0.05,0.04,0.12,0.04,19900,19816,50400,43704,21307,23417,2.83,58,1.17,1,2,1,1,1,1,4.5,3,5,5,5
"Stockton city, CA",306512,77366,0.25,0.68,0.56,0.6,0.72,0.69,0.89,0.92,0.97,0.97,0.03,0.02,0.26,0.23,0.26,0.15,0.18,0.17,0.07,0.09,0.2,0.18,0.06,0.1,0.5,0.42,0.12,0.24,0.21,0.26,0.07,0.08,0.5,0.47,0.46,0.44,0.02,0.04,0.95,0.86,0.87,0.59,0.19,0.16,0.06,0.04,0.08,0.04,0.07,0.02,15323,16290,52147,32122,25030,24503,3.63,20,4,3,4,5,4,5,3,3.25,3,3,4,3
"Tampa city, FL",384044,64841,0.17,0.75,0.59,0.64,0.8,0.75,0.91,0.93,0.98,0.96,0.05,0.03,0.28,0.26,0.25,0.18,0.12,0.12,0.09,0.12,0.24,0.27,0.06,0.12,0.35,0.23,0.03,0.06,0.27,0.31,0.03,0.09,0.47,0.44,0.45,0.48,0.01,0.02,0.9,0.75,0.9,0.77,0.37,0.3,0.14,0.13,0.05,0.02,0.1,0.03,15331,15107,53955,35634,23740,17266,2.29,90,1.83,3,2,2,1,2,1,2.75,2,2,4,3
"Toledo city, OH",277605,9407,0.03,0.69,0.59,0.59,0.77,0.68,0.9,0.95,0.96,0.93,0.04,0.03,0.24,0.38,0.27,0.33,0.15,0.28,0.05,0.08,0.27,0.31,0.1,0.24,0.42,0.25,0.09,0.14,0.27,0.18,0.07,0.05,0.51,0.5,0.35,0.42,0,0.02,0.92,0.83,0.87,0.77,0.18,0.38,0.06,0.18,0.04,0.02,0.08,0.01,17104,13236,41717,19000,18326,15272,3.17,40,3.83,5,3,3,5,2,5,2.5,1,3,4,2
"Tucson city, AZ",533839,76600,0.14,0.72,0.58,0.59,0.65,0.7,0.91,0.93,0.97,0.96,0.04,0.02,0.28,0.33,0.29,0.29,0.2,0.2,0.08,0.16,0.23,0.28,0.08,0.15,0.36,0.3,0.09,0.12,0.19,0.28,0.04,0.07,0.55,0.55,0.43,0.44,0.01,0.03,0.91,0.74,0.91,0.63,0.3,0.2,0.12,0.08,0.07,0.03,0.13,0.03,16270,13165,42000,32987,18200,16187,3.08,46,3.17,3,1,2,5,3,5,3,4,2,3,3
"Tulsa city, OK",411424,37898,0.09,0.7,0.62,0.7,0.75,0.75,0.93,0.95,0.97,0.97,0.06,0.02,0.3,0.36,0.22,0.21,0.14,0.15,0.1,0.1,0.18,0.25,0.04,0.11,0.26,0.1,0.04,0.05,0.16,0.12,0.03,0.03,0.57,0.47,0.34,0.36,0,0.02,0.88,0.63,0.93,0.65,0.35,0.24,0.12,0.1,0.05,0.02,0.1,0.02,19607,17266,48079,37769,25000,24503,2.92,54,3.33,4,4,2,5,2,3,2.5,2,4,1,3
"Virginia Beach city, VA",450010,41400,0.09,0.81,0.69,0.64,0.77,0.74,0.95,0.98,0.98,0.98,0.05,0.03,0.26,0.3,0.22,0.17,0.14,0.12,0.07,0.1,0.09,0.1,0.03,0.03,0.15,0.1,0.03,0.05,0.07,0.08,0.02,0.06,0.63,0.67,0.37,0.35,0,0.02,0.93,0.89,0.95,0.85,0.36,0.38,0.13,0.15,0.1,0.07,0.25,0.15,25453,21276,55000,43164,21991,23417,2.67,66,1.33,1,1,3,1,1,1,4,3,3,5,5
"Washington city, DC",692683,96171,0.14,0.7,0.51,0.67,0.86,0.82,0.84,0.93,0.97,0.97,0.04,0.03,0.29,0.27,0.28,0.28,0.09,0.11,0.07,0.08,0.26,0.19,0.06,0.08,0.52,0.34,0.06,0.07,0.27,0.17,0.03,0.02,0.42,0.37,0.4,0.46,0.01,0.06,0.97,0.92,0.93,0.81,0.59,0.56,0.33,0.37,0.24,0.19,0.07,0.02,12000,18111,78220,69887,41441,30544,4.04,9,4.33,5,3,5,5,4,4,3.75,2,5,4,4
"Wichita city, KS",389195,32133,0.08,0.75,0.61,0.67,0.75,0.76,0.94,0.96,0.98,0.97,0.04,0.02,0.29,0.32,0.23,0.19,0.14,0.16,0.08,0.07,0.17,0.22,0.05,0.12,0.26,0.11,0.04,0.03,0.15,0.16,0.02,0.05,0.62,0.62,0.31,0.35,0.01,0.01,0.9,0.7,0.92,0.63,0.3,0.2,0.11,0.09,0.05,0.02,0.11,0.02,20024,17730,47941,37013,20859,20362,2.75,62,3,4,1,2,3,3,5,2.5,1,4,3,2
"Winston-Salem city, NC",243834,23692,0.1,0.7,0.55,0.65,0.73,0.75,0.92,0.96,0.97,0.95,0.05,0.02,0.26,0.3,0.26,0.14,0.16,0.1,0.08,0.09,0.23,0.3,0.07,0.11,0.32,0.09,0.05,0.07,0.17,0.16,0.04,0.03,0.55,0.47,0.38,0.33,0,0.03,0.91,0.58,0.92,0.62,0.35,0.25,0.13,0.11,0.05,0.02,0.08,0.03,15100,16270,46932,41672,21380,18326,3.5,23,3,4,1,2,5,3,3,4,5,5,3,3
